"frame_id","year","expected_title","source_grade","youtube_title","duration_seconds","source_url","channel","checked_at","reason"
"BHPRO-2014-01","2014","A Survey of Remote Automotive Attack Surfaces","S3","A Survey of Remote Automotive Attack Surfaces","3457","https://www.youtube.com/watch?v=MAGacjNw0Sw","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2014-02","2014","Call to Arms: A Tale of the Weaknesses of Current Client-Side XSS Filtering","S3","Call To Arms: A Tale of the Weaknesses of Current Client-Side XSS Filtering","3281","https://www.youtube.com/watch?v=KsRBig0u568","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2014-03","2014","Capstone: Next Generation Disassembly Framework","S3","Capstone: Next Generation Disassembly Framework","3097","https://www.youtube.com/watch?v=cwyJm6b1F0k","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHKEY-2014-01","2014","Cybersecurity as Realpolitik","S3","Cybersecurity as Realpolitik by Dan Geer presented at Black Hat USA 2014","3275","https://www.youtube.com/watch?v=nT-TGvYOBpI","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2014-04","2014","GRR: Find All the Badness, Collect All the Things","S3","GRR: Find All the Badness, Collect All the Things","3470","https://www.youtube.com/watch?v=ren6QSvwFvg","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2014-05","2014","Learn How to Control Every Room at a Luxury Hotel Remotely: The Dangers of Insecure Home Automation Deployment","S3","Learn How to Control Every Room at a Luxury Hotel Remotely","1274","https://www.youtube.com/watch?v=xomtYrcTSgU","Black Hat","2026-08-07","official Black Hat channel video; session identity confirmed by title or description; duration >=600 seconds"
"BHPRO-2014-06","2014","Leviathan: Command and Control Communications on Planet Earth","pending_manual","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2014-07","2014","Poacher Turned Gamekeeper: Lessons Learned from Eight Years of Breaking Hypervisors","S3","Poacher Turned Gamekeeper: Lessons Learned from Eight Years of Breaking Hypervisors","3235","https://www.youtube.com/watch?v=zHwErzJ1udc","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2014-08","2014","Saving Cyberspace","S3","Saving Cyberspace by Jason Healey","3048","https://www.youtube.com/watch?v=4bK5nNwndVc","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2014-09","2014","Why You Need to Detect More Than PtH","S3","Why You Need to Detect More Than PtH","1757","https://www.youtube.com/watch?v=fXgZKFlw13I","Black Hat","2026-08-07","official Black Hat channel video; session identity confirmed by title or description; duration >=600 seconds"
"BHPRO-2015-01","2015","Hidden Risks of Biometric Identifiers and How to Avoid Them","S3","Hidden Risks Of Biometric Identifiers And How To Avoid Them","3267","https://www.youtube.com/watch?v=cfQCOICIliQ","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2015-02","2015","Information Access and Information Sharing: Where We are and Where We are Going","S3","Information Access And Information Sharing: Where We Are And Where We Are Going","2867","https://www.youtube.com/watch?v=4aUSuWEpAC0","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHKEY-2015-01","2015","The Lifecycle of a Revolution","S3","The Lifecycle of a Revolution (Keynote)","4261","https://www.youtube.com/watch?v=Tjvw5fz_GuA","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2016-01","2016","Bad for Enterprise: Attacking BYOD Enterprise Mobile Security Solutions","S3","Bad for Enterprise: Attacking BYOD Enterprise Mobile Security Solutions","2311","https://www.youtube.com/watch?v=vwgXBK2rsjA","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2016-02","2016","Hacking Next-Gen ATMs: From Capture to Cashout","S3","Hacking Next-Gen ATMs: From Capture to Cashout","1984","https://www.youtube.com/watch?v=kno0vDhbb7Y","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2016-03","2016","Keystone Engine: Next Generation Assembler Framework","S3","Keystone Engine: Next Generation Assembler Framework","1419","https://www.youtube.com/watch?v=-vzoz_KJTps","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2016-04","2016","Next-Generation of Exploit Kit Detection by Building Simulated Obfuscators","S3","Next-Generation of Exploit Kit Detection By Building Simulated Obfuscators","1361","https://www.youtube.com/watch?v=l5Xcwe-MZ7Y","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHKEY-2016-01","2016","The Hidden Architecture of our Time: Why This Internet Worked, How We Could Lose It, and the Role Hackers Play","S3","Keynote: The Hidden Architecture of our Time: Why This Internet Worked, How We Could Lose It...","4369","https://www.youtube.com/watch?v=RAGwol-keXM","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2016-05","2016","The Year in Flash","S3","The Year in Flash","2423","https://www.youtube.com/watch?v=F5NUvcTpoDU","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2017-01","2017","Fad or Future? Getting Past the Bug Bounty Hype","S3","Fad or Future? Getting Past the Bug Bounty Hype","3063","https://www.youtube.com/watch?v=SAqctQuPyOU","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2017-02","2017","Influencing the Market to Improve Security","pending_manual","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2017-01","2017","Stepping Up Our Game: Re-focusing the Security Community on Defense and Making Security Work for Everyone","S3","Black Hat USA 2017 Keynote","3838","https://www.youtube.com/watch?v=YJOMTAREFtY","Black Hat","2026-08-07","official Black Hat channel video; session identity confirmed by title or description; duration >=600 seconds"
"BHPRO-2017-03","2017","The Avalanche Takedown: Landslide for Law Enforcement","S3","The Avalanche Takedown: Landslide for Law Enforcement","2916","https://www.youtube.com/watch?v=tNk2AI5a1F8","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2017-04","2017","The Epocholypse 2038: What's in Store for the Next 20 Years","S3","The Epocholypse 2038: What's in Store for the Next 20 Years","1354","https://www.youtube.com/watch?v=abJ3VoZMeBk","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2017-05","2017","The Future of ApplePwn - How to Save Your Money","S3","The Future of ApplePwn - How to Save Your Money","1085","https://www.youtube.com/watch?v=mGmT0Rd838w","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2018-01","2018","A Brief History of Mitigation: The Path to EL1 in iOS 11","S3","A Brief History of Mitigation: The Path to EL1 in iOS 11","2696","https://www.youtube.com/watch?v=iY6CQBgs1w0","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2018-02","2018","Applied Self-Driving Car Security","pending_manual","","0","","","2026-08-07","no official-channel title match in first search results"
